Name,Adjusted Character,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,BotL Lv.2 Date in JP,BotL Lv.2 in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,Overcharge,Overcharge Date in GL,Overcharge Date in JP,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Ultimate Priority,Weakness to hit
Alfyn,,"Character%20List/Axe%202.png, Character%20List/Ice%202.png",Available in GL,23 de enero de 2025,27 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de julio de 2025,8 de agosto de 2024,Orsterra,268,318,286,351,238,288,30 de noviembre de 2022,"5,25",C (5.99 - 5.00),Yes,3235,4055,Fame,17 de marzo de 2022,C,"9,4",アーフェン,Apothecary,Clearbrook,Chance Encounters,Unavailable,,,380,430,392,442,383,453,256,306,Leave it at U Lv9,"Axe, Ice"
Hayes,,"Character%20List/Axe%2013.png, Character%20List/Fire%2025.png",Available in GL,6 de marzo de 2025,22 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,28 de agosto de 2025,15 de agosto de 2024,Orsterra,267,317,322,387,230,280,12 de abril de 2023,"5,07",C (5.99 - 5.00),Yes,3170,3990,Power,25 de noviembre de 2021,D,"9,2",ヘイズ,Apothecary,Cragspear,Chance Encounters,Unavailable,,,420,470,340,390,348,418,268,318,Leave it at U Lv9,"Axe, Fire"
Tressa EX,,"Character%20List/Bow%2036.png, Character%20List/Fire%2068.png",Available in GL,27 de febrero de 2025,16 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de febrero de 2025,16 de noviembre de 2023,Orsterra,241,306,360,410,285,305,22 de noviembre de 2023,"4,13",D (4.99 - 4.00),Yes,3080,3900,Wealth,8 de septiembre de 2022,E,9,トレサEx,Hunter,Rippletide,Chance Encounters,Unavailable,,,384,449,333,383,357,437,240,290,Leave it at U Lv9,"Bow, Fire"
Sofia EX,,"Character%20List/Axe%2037.png, Character%20List/Wind%2049.png",Available in GL,14 de agosto de 2025,8 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,14 de agosto de 2025,25 de julio de 2024,Orsterra,246,296,389,454,335,385,9 de agosto de 2023,"5,9",C (5.99 - 5.00),Never,2896,3716,Wealth,8 de agosto de 2022,C,"9,4",ソフィアEx,Apothecary,Emberglow,The Marine Travelers,Available in JP,,14 de agosto de 2025,231,281,291,341,562,632,283,333,Leave it at U Lv9,"Axe, Wind"
Neha,,"Character%20List/Fan%2029.png, Character%20List/Ice%2031.png, Character%20List/Dark%2030.png",Available in GL,6 de febrero de 2025,14 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,18 de enero de 2024,Solistia,262,297,417,482,337,387,6 de febrero de 2025,"6,67",B (6.99 - 6.00),Yes,2776,3596,Domination,14 de septiembre de 2023,A,"9,7",ネーハ,Dancer,Memoir Logs,Chance Encounters,Available in JP,,30 de enero de 2025,230,280,225,275,569,639,357,422,,"Dark, Fan, Ice"
Glossom,,"Character%20List/Fan%2013.png, Character%20List/Lightning_Thunder%2012.png",Available in GL,3 de julio de 2025,6 de junio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,3 de julio de 2025,6 de junio de 2024,Orsterra,270,305,337,402,332,382,5 de octubre de 2022,5,C (5.99 - 5.00),Never,2733,3553,Power,11 de marzo de 2021,D,"9,2",グロッサム,Dancer,Donescu,Tourney,Unavailable,,,340,390,235,285,479,549,337,402,U Lv10 before A1,"Fan, Lightning"
Solon,,"Character%20List/Tome%2040.png, Character%20List/Spear_Polearm%2035.png, Character%20List/Fire%2063.png",Available in GL,22 de mayo de 2025,24 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de mayo de 2025,11 de enero de 2024,Orsterra,236,286,394,459,310,360,21 de febrero de 2024,"8,53",S (8.99 - 8.25),Never,3076,3736,Wealth,16 de febrero de 2023,A,"9,7",ソロン,Scholar,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,271,321,321,371,592,682,233,283,U Lv10 Game Changer,"Fire, Polearm, Tome"
Ori,,"Character%20List/Spear_Polearm%2026.png, Character%20List/Wind%2039.png",Available in GL,16 de octubre de 2025,26 de septiembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,16 de octubre de 2025,26 de septiembre de 2024,Solistia,251,286,360,410,250,300,16 de octubre de 2025,"5,83",C (5.99 - 5.00),Never,3070,3970,Approval,26 de septiembre de 2024,B,"9,5",オリ,Merchant,Memoir Logs,Memoirs of Solistia,Available in JP,,7 de noviembre de 2024,394,459,313,363,332,412,340,375,,"Polearm, Wind"
Grieg,,"Character%20List/Sword%2022.png, Character%20List/Fire%2022.png",Available in GL,20 de marzo de 2025,3 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de marzo de 2025,4 de enero de 2024,Solistia,283,333,227,277,301,351,20 de marzo de 2025,"5,38",C (5.99 - 5.00),Yes,3402,4222,Domination,3 de agosto de 2023,C,"9,4",グリーグ,Warrior,Memoir Logs,Chance Encounters,Available in JP,,30 de enero de 2025,424,489,383,448,296,366,225,260,,"Fire, Sword"
Pardis III,,"Character%20List/Sword%2041.png, Character%20List/Dagger%2028.png, Character%20List/Bow%2028.png, Character%20List/Fire%2048.png, Character%20List/Lightning_Thunder%2030.png, Character%20List/Dark%2037.png",Available in GL,30 de octubre de 2025,10 de octubre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,30 de octubre de 2025,10 de octubre de 2024,Orsterra,326,376,65,130,305,355,30 de octubre de 2025,"9,88",S+ (10.00 - 9.00),Never,3206,3866,Power,10 de octubre de 2024,S+,"9,9",パーディス三世,Scholar,Memoir,Champion of Memories,Available in GL,30 de octubre de 2025,24 de octubre de 2024,580,630,351,401,490,580,238,288,,"Bow, Dagger, Dark, Fire, Lightning, Sword"
Ceraphina,,"Character%20List/Dark%209.png, Character%20List/Light%2012.png",Available in GL,30 de octubre de 2025,10 de octubre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,30 de octubre de 2025,10 de octubre de 2024,Orsterra,213,263,506,571,278,328,30 de octubre de 2025,"6,86",B (6.99 - 6.00),Never,3180,4000,Fame,10 de octubre de 2024,S,"9,8",セラフィナ,Apothecary,Memoir,Champion of Memories,Available in GL,30 de octubre de 2025,24 de octubre de 2024,235,285,332,382,418,488,291,341,,"Dark, Light"
O. Odio,Yes,"Character%20List/Sword%2036.png, Character%20List/Fire%2042.png, Character%20List/Dark%2033.png",Available in GL,22 de enero de 2026,4 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de enero de 2026,4 de julio de 2024,Dominion of Hate (Live A Live),353,403,227,277,236,286,10 de julio de 2024,"8,4",S (8.99 - 8.25),Never,3092,3912,Fame,30 de marzo de 2023,B,"9,5",オディオ・O,Warrior,Memoir,Live A Live Crossover Guidance,Available in JP,,,469,534,323,388,331,401,290,325,Leave it at U Lv9,"Dark, Fire, Sword"
Elrica EX,Yes,"Character%20List/Dagger%2012.png, Character%20List/Sword%2016.png, Character%20List/Spear_Polearm%2010.png, Character%20List/Axe%209.png, Character%20List/Bow%209.png, Character%20List/Staff_Staves%206.png, Character%20List/Tome%208.png, Character%20List/Fan%208.png, Character%20List/Lightning_Thunder%208.png",Available in GL,13 de noviembre de 2025,24 de octubre de 2024,22 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de noviembre de 2025,24 de octubre de 2024,Orsterra,348,398,226,276,273,323,13 de noviembre de 2025,"7,95",A (8.24 - 7.00),Never,2832,3652,Power,24 de octubre de 2024,S,"9,8",エリカEx,Thief,Memoir,Traveler of Memories,Available in GL,13 de noviembre de 2025,24 de octubre de 2024,423,488,280,300,332,412,420,485,,"Axe, Bow, Dagger, Fan, Lightning, Polearm, Staff, Sword, Tome"
Ditraina EX,,"Character%20List/Bow%207.png, Character%20List/Fire%2014.png, Character%20List/Ice%209.png, Character%20List/Lightning_Thunder%206.png, Character%20List/Wind%2012.png, Character%20List/Light%2015.png, Character%20List/Dark%2014.png",Available in GL,13 de noviembre de 2025,24 de octubre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de noviembre de 2025,24 de octubre de 2024,Orsterra,345,410,275,325,253,273,13 de noviembre de 2025,"8,37",S (8.99 - 8.25),Never,2927,3747,Power,24 de octubre de 2024,S,"9,8",ディトレイナEx,Hunter,Memoir,Traveler of Memories,Available in GL,13 de noviembre de 2025,24 de octubre de 2024,452,517,228,278,426,506,330,380,,"Bow, Dark, Fire, Ice, Light, Lightning, Wind"
Ophilia EX,,"Character%20List/Tome%2034.png, Character%20List/Fire%2045.png, Character%20List/Ice%2034.png, Character%20List/Lightning_Thunder%2028.png, Character%20List/Wind%2038.png, Character%20List/Light%2046.png, Character%20List/Dark%2035.png",Available in GL,17 de julio de 2025,20 de junio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,17 de julio de 2025,20 de junio de 2024,Orsterra,236,286,439,504,330,380,17 de julio de 2025,"7,4",A (8.24 - 7.00),Never,2756,3416,Fame,20 de junio de 2024,B,"9,6",オフィーリアEx,Scholar,Memoir,Final Fantasy IV Crossover Guidance,Available in JP,,19 de diciembre de 2024,226,276,286,336,612,702,288,338,,"Dark, Fire, Ice, Light, Lightning, Tome, Wind"
Mydia,No,"Character%20List/Staff_Staves%2020.png, Character%20List/Fire%2039.png, Character%20List/Light%2040.png",Available in GL,1 de enero de 2026,7 de noviembre de 2024,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,1 de enero de 2026,7 de noviembre de 2024,Solistia,273,308,260,325,369,434,1 de enero de 2026,,,Never,2862,3602,Approval,7 de noviembre de 2024,S+,10,ミディヤ,Cleric,Memoir Logs,Memoirs of Solistia,Available in GL,1 de enero de 2026,7 de noviembre de 2024,421,471,292,342,420,500,296,346,,"Fire, Light, Staff"
Auguste,,"Character%20List/Dagger%204.png, Character%20List/Tome%202.png, Character%20List/Dark%204.png",Available in GL,18 de diciembre de 2025,2 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,18 de diciembre de 2025,2 de noviembre de 2023,Orsterra,258,308,286,336,270,320,26 de julio de 2023,"5,4",C (5.99 - 5.00),Never,3122,3942,Fame,28 de abril de 2022,D,"9,2",アーギュスト,Thief,Memoir,Champion of Memories,Available in GL,18 de diciembre de 2025,24 de octubre de 2024,408,473,303,323,337,417,400,465,A4 before U Lv10,"Dagger, Dark, Tome"
Crick,,"Character%20List/Sword%2010.png, Character%20List/Staff_Staves%204.png, Character%20List/Light%2013.png",Available in GL,27 de noviembre de 2025,21 de noviembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de noviembre de 2025,21 de noviembre de 2024,Solistia,278,328,207,257,331,381,27 de noviembre de 2025,"8,25",S (8.99 - 8.25),Never,3462,4282,Approval,21 de noviembre de 2024,S,"9,8",クリック,Warrior,Memoir Logs,Memoirs of Solistia,Available in GL,27 de noviembre de 2025,21 de noviembre de 2024,354,419,398,463,336,406,235,270,,"Light, Staff, Sword"
Morena,,"Character%20List/Tome%2026.png, Character%20List/Staff_Staves%2019.png, Character%20List/Wind%2033.png",Available in JP,,5 de diciembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,5 de diciembre de 2024,Solistia,236,286,384,449,295,345,,,,Never,2886,3546,Approval,5 de diciembre de 2024,A,"9,7",モレーナ,Scholar,Memoir Logs,Chance Encounters,Available in JP,,5 de diciembre de 2024,301,351,286,336,552,642,313,363,,"Staff, Tome, Wind"
Kagemune,,"Character%20List/Dagger%2018.png, Character%20List/Fire%2029.png, Character%20List/Ice%2020.png, Character%20List/Wind%2019.png",Available in GL,6 de noviembre de 2025,19 de diciembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de noviembre de 2025,6 de enero de 2025,Solistia,378,428,236,286,178,228,6 de noviembre de 2025,"6,33",B (6.99 - 6.00),Never,2862,3682,Domination,19 de diciembre de 2024,A,"9,7",カゲムネ,Thief,Memoir Logs,Tourney,Available in GL,6 de noviembre de 2025,6 de enero de 2025,423,488,205,225,352,432,460,525,,"Dagger, Fire, Ice, Wind"
Hikari EX,,"Character%20List/Staff_Staves%2010.png, Character%20List/Fire%2026.png, Character%20List/Ice%2016.png, Character%20List/Lightning_Thunder%2014.png, Character%20List/Wind%2018.png, Character%20List/Light%2026.png",Available in GL,4 de diciembre de 2025,1 de enero de 2025,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de diciembre de 2025,1 de enero de 2025,Solistia,298,333,525,590,334,399,4 de diciembre de 2025,,,Never,2812,3552,Domination,1 de enero de 2025,S,"9,8",ヒカリEx,Cleric,Memoir Logs,Memoirs of Solistia,Available in GL,4 de diciembre de 2025,1 de enero de 2025,246,296,267,317,460,540,241,291,,"Fire, Ice, Light, Lightning, Staff, Wind"
Rai Mei,,"Character%20List/Spear_Polearm%2030.png, Character%20List/Sword%2042.png, Character%20List/Fire%2052.png, Character%20List/Lightning_Thunder%2033.png, Character%20List/Light%2050.png, Character%20List/Dark%2041.png",Available in GL,4 de diciembre de 2025,1 de enero de 2025,25 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,4 de diciembre de 2025,1 de enero de 2025,Solistia,281,316,455,505,265,315,4 de diciembre de 2025,,,Never,3240,4140,Approval,1 de enero de 2025,A,"9,7",ライ・メイ,Merchant,Memoir Logs,Memoirs of Solistia,Available in GL,4 de diciembre de 2025,1 de enero de 2025,289,354,298,348,442,522,230,265,,"Dark, Fire, Light, Lightning, Polearm, Sword"
Sigrid EX,,"Character%20List/Spear_Polearm%2034.png, Character%20List/Sword%2054.png, Character%20List/Fire%2062.png",Available in GL,1 de enero de 2026,1 de enero de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,1 de enero de 2026,1 de enero de 2025,Orsterra,328,363,237,287,230,280,1 de enero de 2026,,,Never,3130,4030,Power,31 de diciembre de 2024,D,"9,2",ジークリットEx,Merchant,Sheperd's Rock,Free (New Year Distribution),Available in GL,1 de enero de 2026,1 de enero de 2025,384,449,335,385,286,366,286,321,,"Fire, Polearm, Sword"
Dark Knight,,"Character%20List/Sword%2012.png, Character%20List/Dark%2011.png",Available in GL,18 de diciembre de 2025,16 de enero de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,18 de diciembre de 2025,16 de enero de 2025,Orsterra,338,388,232,282,266,316,18 de diciembre de 2025,,,Never,3232,4052,Power,16 de enero de 2025,S+,10,黒の騎士,Warrior,Memoir,Champion of Memories,Available in GL,18 de diciembre de 2025,16 de enero de 2025,469,534,353,418,316,386,285,320,,"Dark, Sword"
Dark Priestess,,Character%20List/Dark%2012.png,Available in GL,18 de diciembre de 2025,16 de enero de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,18 de diciembre de 2025,16 de enero de 2025,Orsterra,292,327,487,552,322,372,18 de diciembre de 2025,,,Never,2676,3496,Fame,16 de enero de 2025,S+,"9,9",黒の巫女,Dancer,Memoir,Champion of Memories,Available in GL,18 de diciembre de 2025,16 de enero de 2025,225,275,235,285,514,584,372,437,,Dark
Tatloch EX,,"Character%20List/Dagger%2037.png, Character%20List/Dark%2054.png",Available in GL,7 de agosto de 2025,18 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,18 de julio de 2024,G'roha,318,368,436,486,272,322,7 de agosto de 2025,"8,27",S (8.99 - 8.25),Never,2892,3712,Power,18 de julio de 2024,A,"9,7",タトゥロックEx,Thief,Memoir,Nautical Travelers,Available in JP,,7 de agosto de 2025,253,318,283,303,422,502,368,433,,"Dagger, Dark"
Molrusso EX,No,"Character%20List/Fan%2028.png, Character%20List/Sword%2033.png, Character%20List/Axe%2021.png, Character%20List/Staff%202.png, Character%20List/Tome%2024.png, Character%20List/Fire%2037.png",Available in GL,12 de febrero de 2026,13 de febrero de 2025,18 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de febrero de 2026,13 de febrero de 2025,Overworld (Dragon Quest III),322,357,317,382,282,332,12 de febrero de 2026,,,Never,2786,3606,Domination,13 de febrero de 2025,S+,"9,9",モルルッソEx,Dancer,Memoir,Dragon Quest III Crossover Guidance,Available in GL,12 de febrero de 2026,13 de febrero de 2025,390,440,220,270,469,539,362,427,,"Axe, Fan, Fire, Staff, Sword, Tome"
Viola EX,No,"Character%20List/Tome%2046.png, Character%20List/Fire%2070.png, Character%20List/Ice%2047.png, Character%20List/Light%2063.png",Available in GL,12 de febrero de 2026,13 de febrero de 2025,18 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de febrero de 2026,13 de febrero de 2025,Overworld (Dragon Quest III),201,251,489,554,310,360,12 de febrero de 2026,,,Never,2896,3556,Opulence,13 de febrero de 2025,S,"9,8",ヴィオラEx,Scholar,Memoir,Dragon Quest III Crossover Guidance,Available in GL,12 de febrero de 2026,13 de febrero de 2025,221,271,246,296,572,662,318,368,,"Fire, Ice, Light, Tome"
Alaune,,"Character%20List/Tome.png, Character%20List/Fire%203.png, Character%20List/Light%203.png",Available in GL,24 de abril de 2025,25 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de abril de 2025,25 de enero de 2024,Orsterra,211,261,404,469,360,410,28 de junio de 2023,"4,93",D (4.99 - 4.00),Never,2906,3566,Power,31 de marzo de 2022,C,"9,4",アラウネ,Scholar,Memoir,Traveler of Memories,Unavailable,,,201,251,316,366,577,667,293,343,Ultimate not worth,"Fire, Light, Tome"
Cyrus EX,No,"Character%20List/Sword%2011.png, Character%20List/Fire%2012.png, Character%20List/Lightning%203.png, Character%20List/Wind%2010.png",Available in GL,12 de febrero de 2026,13 de febrero de 2025,18 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de febrero de 2026,13 de febrero de 2025,Overworld (Dragon Quest III),273,323,412,462,251,301,12 de febrero de 2026,,,Never,3052,3872,Approval,13 de febrero de 2025,A,"9,7",サイラスEx,Warrior,Memoir,Dragon Quest III Crossover Guidance,Available in GL,12 de febrero de 2026,13 de febrero de 2025,434,499,298,363,346,416,235,270,,"Fire, Lightning, Sword, Wind"
Sonia,,"Character%20List/Dagger%2036.png, Character%20List/Wind%2050.png",Available in GL,27 de marzo de 2025,21 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,3 de julio de 2025,16 de mayo de 2024,Orsterra,293,343,351,401,238,288,24 de enero de 2024,"7,64",A (8.24 - 7.00),Never,2902,3722,Wealth,28 de octubre de 2022,B,"9,6",ソニア,Thief,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,373,438,255,275,337,417,430,495,U Lv10 before A1,"Dagger, Wind"
Fiore,,"Character%20List/Sword%2021.png, Character%20List/Dark%2020.png",Available in GL,16 de enero de 2025,14 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de julio de 2025,9 de mayo de 2024,Orsterra,333,383,237,287,241,291,27 de julio de 2022,4,D (4.99 - 4.00),Yes,3222,4042,Fame,28 de octubre de 2020,E,"9,1",フィオル,Warrior,Rippletide,Chance Encounters,Available in GL,30 de octubre de 2025,6 de enero de 2025,404,469,343,408,286,356,310,345,Leave it at U Lv9,"Dark, Sword"
Kurtz,No,"Character%20List/Dagger%2020.png, Character%20List/Wind%2022.png",Available in GL,16 de enero de 2025,22 de junio de 2023,22 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️,Available in GL,,25 de abril de 2024,Orsterra,335,385,246,296,265,315,27 de julio de 2022,,,Yes,2892,3712,Wealth,28 de octubre de 2020,F+,9,カルツ,Thief,Theatropolis,Chance Encounters,Available in GL,30 de octubre de 2025,19 de diciembre de 2024,353,418,288,308,317,397,403,468,,"Dagger, Wind"
Signa EX,,"Character%20List/Axe%2036.png, Character%20List/Sword%2052.png, Character%20List/Polearm%206.png, Character%20List/Staff%206.png",Available in JP,,13 de marzo de 2025,18 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,13 de marzo de 2025,Overworld (Dragon Quest III),208,258,236,301,248,298,,,,Never,3940,4760,Approval,13 de marzo de 2025,A,"9,7",シグナEx,Apothecary,Memoir,Dragon Quest III Crossover Guidance,Available in JP,,13 de marzo de 2025,440,490,357,407,378,448,196,246,,"Axe, Polearm, Staff, Sword"
