Name,Adjusted Character,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,BotL Lv.2 Date in JP,BotL Lv.2 in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,Overcharge,Overcharge Date in GL,Overcharge Date in JP,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Ultimate Priority,Weakness to hit
Castti EX,No,"Character%20List/Fan%205.png, Character%20List/Ice%206.png, Character%20List/Wind%208.png",Available in GL,26 de febrero de 2026,8 de mayo de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,26 de febrero de 2026,8 de mayo de 2025,Solistia,297,332,502,567,272,322,26 de febrero de 2026,,,Never,2.976,3.796,Approval,8 de mayo de 2025,B,"9,6",キャスティEx,Dancer,Memoir Logs,Memoirs of Solistia,Available in GL,26 de febrero de 2026,8 de mayo de 2025,220,270,200,250,504,574,337,402,,"Fan, Ice, Wind"
Molu,No,"Character%20List/Tome%2026.png, Character%20List/Fire%2040.png",Available in GL,13 de febrero de 2025,26 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de junio de 2025,25 de abril de 2024,Orsterra,246,296,414,479,320,370,11 de enero de 2023,"4,46",D (4.99 - 4.00),Yes,2.831,3.491,Wealth,27 de mayo de 2021,D,"9,2",ムールゥ,Scholar,Sufrataljah,Chance Encounters,Available in JP,,19 de junio de 2025,241,291,261,311,562,652,293,343,Leave it at U Lv9,"Fire, Tome"
Bargello EX,No,Character%20List/Fan%204.png,Available in GL,7 de agosto de 2025,18 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,18 de julio de 2024,Orsterra,282,317,237,302,332,382,7 de agosto de 2025,"7,75",A (8.49 - 7.00),Never,2.896,3.716,Wealth,18 de julio de 2024,A,"9,7",バルジェロEx,Dancer,Memoir,Nautical Travelers,Available in JP,,7 de agosto de 2025,435,485,245,295,494,564,322,387,,Fan
Tressa,No,"Character%20List/Spear_Polearm%2037.png, Character%20List/Wind%2062.png",Available in GL,23 de enero de 2025,13 de julio de 2023,8 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,23 de enero de 2025,12 de octubre de 2023,Orsterra,241,276,360,410,285,335,27 de julio de 2022,"4,64",D (4.99 - 4.00),Yes,3.080,3.980,Wealth,1 de enero de 2021,C,"9,4",トレサ,Merchant,Rippletide,Chance Encounters,Available in JP,,7 de noviembre de 2024,384,449,333,383,357,437,240,275,Leave it at U Lv9,"Polearm, Wind"
Aedelgard,No,"Character%20List/Sword%202.png, Character%20List/Fire%202.png",Available in GL,20 de marzo de 2025,7 de diciembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,14 de agosto de 2025,6 de junio de 2024,Orsterra,313,363,252,302,234,284,15 de noviembre de 2023,4,D (4.99 - 4.00),Yes,3.232,4.052,Fame,14 de julio de 2022,C,"9,3",エデルガルト,Warrior,Cragspear,Chance Encounters,Available in JP,,21 de noviembre de 2024,409,474,346,411,381,451,260,295,U Lv10 before A1,"Fire, Sword"
Krauser,No,"Character%20List/Spear_Polearm%2016.png, Character%20List/Wind%2022.png",Available in GL,22 de mayo de 2025,24 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de mayo de 2025,22 de febrero de 2024,Orsterra,270,305,240,290,300,350,23 de agosto de 2023,"6,9",B (6.99 - 6.00),Never,3.330,4.230,Power,14 de abril de 2022,E,"9,1",クラウザー,Merchant,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,444,509,373,423,322,402,215,250,A4 before U Lv10,"Polearm, Wind"
Ri’tu,No,"Character%20List/Dagger%2034.png, Character%20List/Lightning_Thunder%2035.png",Available in GL,1 de mayo de 2025,11 de abril de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,8 de mayo de 2025,11 de abril de 2024,Orsterra,333,383,276,326,232,282,7 de diciembre de 2022,"4,08",D (4.99 - 4.00),Never,2.782,3.602,Power,13 de mayo de 2021,E,9,リトゥ,Thief,Flamesgrace,Tourney,Unavailable,,,403,468,259,279,322,402,410,475,A4 before U Lv10,"Dagger, Lightning"
Nona,No,"Character%20List/Spear_Polearm%2022.png, Character%20List/Fire%2044.png",Available in GL,20 de febrero de 2025,14 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de febrero de 2025,14 de febrero de 2024,Orsterra,241,276,325,375,291,341,17 de mayo de 2023,"4,58",D (4.99 - 4.00),Yes,3.465,4.365,Wealth,20 de enero de 2022,C,"9,4",ノーニャ,Merchant,Berecain,Chance Encounters,Unavailable,,,382,447,317,367,332,412,225,260,Leave it at U Lv9,"Fire, Polearm"
Pardis III EX,Unreleased in GL,"Character%20List/Light%2050.png, Character%20List/Ice%2038.png, Character%20List/Wind%2042.png",Available in JP,,9 de octubre de 2025,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,9 de octubre de 2025,Orsterra,283,318,520,585,309,374,,,,Never,2.812,3.552,Power,9 de octubre de 2025,S+,10,パーディス三世の詳細,Cleric,Memoir,Sacred Hearts,Available in JP,,9 de octubre de 2025,196,246,262,312,530,610,326,376,,Light
Lumis,No,"Character%20List/Axe%2018.png, Character%20List/Wind%2028.png",Available in GL,13 de febrero de 2025,12 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,23 de mayo de 2024,Orsterra,244,294,303,368,224,274,28 de septiembre de 2022,"3,46",E (3.99 - 0.00),Yes,3.165,3.985,Fame,25 de febrero de 2021,D,"9,2",リュミス,Apothecary,Donescu,Chance Encounters,Unavailable,,,365,415,356,406,379,449,333,383,Leave it at U Lv9,"Axe, Wind"
Pardis III,No,"Character%20List/Sword%2043.png, Character%20List/Dagger%2030.png, Character%20List/Bow%2030.png, Character%20List/Fire%2051.png, Character%20List/Lightning_Thunder%2030.png, Character%20List/Dark%2038.png",Available in GL,30 de octubre de 2025,10 de octubre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,30 de octubre de 2025,10 de octubre de 2024,Orsterra,326,376,65,130,305,355,30 de octubre de 2025,"9,83",S+ (10.00 - 9.50),Never,3.206,3.866,Power,10 de octubre de 2024,S+,"9,9",パーディス三世,Scholar,Memoir,Champion of Memories,Available in GL,30 de octubre de 2025,24 de octubre de 2024,580,630,351,401,490,580,238,288,,"Bow, Dagger, Dark, Fire, Lightning, Sword"
Lemaire,No,"Character%20List/Fan%2021.png, Character%20List/Fire%2034.png, Character%20List/Ice%2024.png, Character%20List/Lightning_Thunder%2019.png, Character%20List/Wind%2025.png, Character%20List/Light%2032.png, Character%20List/Dark%2027.png",Available in GL,13 de febrero de 2025,9 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,29 de agosto de 2024,Orsterra,233,268,434,499,337,387,10 de abril de 2024,"6,44",B (6.99 - 6.00),Yes,2.771,3.591,Fame,24 de noviembre de 2022,C,"9,4",ルメール,Dancer,Theatropolis,Chance Encounters,Unavailable,,,230,280,235,285,489,559,387,452,Leave it at U Lv9,"Dark, Fan, Fire, Ice, Light, Lightning, Wind"
Mydia,No,"Character%20List/Staff_Staves%2020.png, Character%20List/Fire%2041.png, Character%20List/Light%2042.png",Available in GL,1 de enero de 2026,7 de noviembre de 2024,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,1 de enero de 2026,7 de noviembre de 2024,Solistia,273,308,260,325,369,434,1 de enero de 2026,,,Never,2.862,3.602,Approval,7 de noviembre de 2024,S+,10,ミディヤ,Cleric,Memoir Logs,Memoirs of Solistia,Available in GL,1 de enero de 2026,7 de noviembre de 2024,421,471,292,342,420,500,296,346,,"Fire, Light, Staff"
Cassia,Unreleased in GL,"Character%20List/Bow%205.png, Character%20List/Wind%207.png, Character%20List/Light%208.png, Character%20List/Dark%207.png",Available in JP,,30 de junio de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,30 de junio de 2025,Solistia,355,420,265,315,263,283,,,,Never,3.022,3.842,Domination,30 de junio de 2025,A,"9,7",ケイシア,Hunter,Memoir Logs,Sacred Blaze Guidance,Available in JP,,30 de junio de 2025,427,492,213,263,406,486,360,410,,"Bow, Dark, Light, Wind"
Sigrid EX,,"Character%20List/Spear_Polearm%2034.png, Character%20List/Sword%2056.png, Character%20List/Fire%2065.png",Available in GL,1 de enero de 2026,1 de enero de 2025,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,1 de enero de 2026,1 de enero de 2025,Orsterra,328,363,237,287,230,280,1 de enero de 2026,,,Never,3.130,4.030,Power,31 de diciembre de 2024,D,"9,2",ジークリットEx,Merchant,Sheperd's Rock,Free (New Year Distribution),Available in GL,1 de enero de 2026,1 de enero de 2025,384,449,335,385,286,366,286,321,,"Fire, Polearm, Sword"
Fiore,No,"Character%20List/Sword%2022.png, Character%20List/Dark%2021.png",Available in GL,16 de enero de 2025,14 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de julio de 2025,9 de mayo de 2024,Orsterra,333,383,237,287,241,291,27 de julio de 2022,"3,5",E (3.99 - 0.00),Yes,3.222,4.042,Fame,28 de octubre de 2020,E,"9,1",フィオル,Warrior,Rippletide,Chance Encounters,Available in GL,30 de octubre de 2025,6 de enero de 2025,404,469,343,408,286,356,310,345,Leave it at U Lv9,"Dark, Sword"
Ogen,No,"Character%20List/Axe%2028.png, Character%20List/Ice%2035.png",Available in GL,20 de marzo de 2025,22 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,26 de septiembre de 2024,Orsterra,203,253,451,516,238,288,9 de mayo de 2024,"6,4",B (6.99 - 6.00),Yes,3.210,4.030,Fame,11 de mayo de 2023,B,"9,6",オーゲン,Apothecary,Atlasdam,Chance Encounters,Available in JP,,8 de mayo de 2025,345,395,332,382,398,468,241,291,U Lv10 before A1,"Axe, Ice"
Yan Long,No,"Character%20List/Staff_Staves%2034.png, Character%20List/Ice%2051.png",Available in GL,12 de junio de 2025,12 de septiembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de junio de 2025,12 de septiembre de 2024,Orsterra,277,312,265,330,324,389,15 de marzo de 2023,"5,92",C (5.99 - 5.00),Never,3.032,3.772,Wealth,27 de octubre de 2021,C,"9,3",イェンロン,Cleric,I'cirlo,Tourney,Unavailable,,,381,431,267,317,348,428,326,376,A4 before U Lv10,"Ice, Staff"
Elrica EX2,Unreleased in GL,"Character%20List/Fan%209.png, Character%20List/Sword%2017.png, Character%20List/Light%2021.png, Character%20List/Lightning%204.png",Available in JP,,9 de octubre de 2025,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,9 de octubre de 2025,Orsterra,307,342,572,637,272,322,,,,Never,2.796,3.616,Power,9 de octubre de 2025,S,"9,8",エリカの詳細,Dancer,Memoir,Sacred Hearts,Available in JP,,9 de octubre de 2025,270,320,210,260,534,604,282,347,,"Light, Lightning, Sword"
Millard,No,"Character%20List/Staff_Staves%2017.png, Character%20List/Light%2041.png",Available in GL,16 de enero de 2025,21 de diciembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,16 de enero de 2025,21 de diciembre de 2023,Orsterra,278,313,365,430,419,484,27 de julio de 2022,"2,46",E (3.99 - 0.00),Yes,2.772,3.512,Fame,28 de octubre de 2020,D,"9,2",ミロード,Cleric,Valore,Chance Encounters,Available in JP,,19 de junio de 2025,251,301,292,342,420,500,296,346,Ultimate not worth,"Light, Staff"
Nicola,Yes,"Character%20List/Dagger%2027.png, Character%20List/Light%2044.png",Available in GL,6 de febrero de 2025,5 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de febrero de 2025,7 de diciembre de 2023,Orsterra,328,378,266,316,248,298,14 de diciembre de 2022,"5,78",C (5.99 - 5.00),Yes,2.877,3.697,Fame,11 de diciembre de 2020,C,"9,3",ニコラ,Thief,Emberglow,Chance Encounters,Available in JP,,5 de diciembre de 2024,353,418,275,295,347,427,425,490,A4 before U Lv10,"Dagger, Light"
Tatloch EX,No,"Character%20List/Dagger%2039.png, Character%20List/Dark%2056.png",Available in GL,7 de agosto de 2025,18 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,18 de julio de 2024,G'roha,318,368,436,486,272,322,7 de agosto de 2025,"7,5",A (8.49 - 7.00),Never,2.892,3.712,Power,18 de julio de 2024,A,"9,7",タトゥロックEx,Thief,Memoir,Nautical Travelers,Available in JP,,7 de agosto de 2025,253,318,283,303,422,502,368,433,,"Dagger, Dark"
W’ludai,Yes,"Character%20List/Spear_Polearm%2038.png, Character%20List/Dark%2059.png",Available in GL,13 de febrero de 2025,4 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de febrero de 2025,4 de enero de 2024,Orsterra,226,261,280,330,260,310,15 de marzo de 2023,"4,8",D (4.99 - 4.00),Yes,3.440,4.340,Power,11 de noviembre de 2021,E,"9,1",ウルダイ,Merchant,I'cirlo,Chance Encounters,Unavailable,,,414,479,318,368,292,372,303,338,Leave it at U Lv9,"Dark, Polearm"
Pirro,No,"Character%20List/Dagger%2032.png, Character%20List/Dark%2040.png",Available in GL,6 de marzo de 2025,6 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de marzo de 2025,7 de diciembre de 2023,Solistia,333,383,226,276,235,285,6 de marzo de 2025,"6,33",B (6.99 - 6.00),Never,2.932,3.752,Opulence,6 de julio de 2023,B,"9,5",ピルロ,Thief,Memoir Logs,Memoirs of Solistia,Unavailable,,,444,509,270,290,362,442,405,470,,"Dagger, Dark"
Gertrude,No,"Character%20List/Axe%2013.png, Character%20List/Dark%2022.png",Available in GL,1 de mayo de 2025,31 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de mayo de 2025,31 de enero de 2024,Orsterra,246,296,306,371,222,272,11 de enero de 2023,"4,27",D (4.99 - 4.00),Never,3.235,4.055,Wealth,10 de junio de 2021,E,"9,1",ガートルード,Apothecary,Sufrataljah,Tourney,Unavailable,,,404,454,321,371,388,458,231,281,A4 before U Lv10,"Axe, Dark"
Hujheb,Yes (CN only),Character%20List/Bow%2016.png,Available in GL,22 de mayo de 2025,1 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de mayo de 2025,1 de febrero de 2024,Solistia,385,450,200,250,248,268,22 de mayo de 2025,"8,88",S (9.49 - 8.50),Never,3.232,4.052,Domination,1 de febrero de 2024,B,"9,6",ヒュージブ,Hunter,Memoir Logs,Sacred Blaze Guidance,Unavailable,,,472,537,223,273,416,496,290,340,,Bow
Morena,Unreleased in GL,"Character%20List/Tome%2027.png, Character%20List/Staff_Staves%2019.png, Character%20List/Wind%2034.png",Available in JP,,5 de diciembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,5 de diciembre de 2024,Solistia,236,286,384,449,295,345,,,,Never,2.886,3.546,Approval,5 de diciembre de 2024,A,"9,7",モレーナ,Scholar,Memoir Logs,Chance Encounters,Available in JP,,5 de diciembre de 2024,301,351,286,336,552,642,313,363,,"Staff, Tome, Wind"
Alaune EX2,Unreleased in GL,"Character%20List/Sword%203.png, Character%20List/Fire%204.png, Character%20List/Ice%201.png, Character%20List/Lightning.png, Character%20List/Wind%202.png, Character%20List/Light%204.png, Character%20List/Dark%202.png",Available in JP,,23 de octubre de 2025,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in JP,,23 de octubre de 2025,Orsterra,378,428,512,562,321,371,,,,Never,3.442,4.262,Power,23 de octubre de 2025,S+,10,剣士アラウネ,Warrior,Memoir,Traveler of Memories,Available in JP,,23 de octubre de 2025,354,419,368,433,426,496,235,270,,"Dark, Fire, Ice, Light, Lightning, Sword, Wind"
Cyrus,No,"Character%20List/Tome%205.png, Character%20List/Fire%2011.png, Character%20List/Ice%208.png, Character%20List/Lightning_Thunder%205.png",Available in GL,23 de enero de 2025,13 de julio de 2023,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,23 de enero de 2025,26 de octubre de 2023,Orsterra,246,296,454,519,330,380,21 de diciembre de 2022,"6,73",B (6.99 - 6.00),Yes,2.746,3.406,Fame,18 de marzo de 2021,C,"9,3",サイラス,Scholar,Theatropolis,Chance Encounters,Available in GL,30 de octubre de 2025,6 de enero de 2025,236,286,281,331,582,672,253,303,Leave it at U Lv9,"Fire, Ice, Lightning, Tome"
Isla,Yes,"Character%20List/Tome%2017.png, Character%20List/Fire%2029.png, Character%20List/Lightning_Thunder%2015.png",Available in GL,16 de enero de 2025,12 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,16 de enero de 2025,12 de octubre de 2023,Orsterra,226,276,414,479,325,375,28 de agosto de 2024,"8,38",A (8.49 - 7.00),Never,2.746,3.406,Approval,12 de octubre de 2023,A,"9,7",アイラ,Scholar,Memoir,Traveler of Memories,Available in JP,,6 de marzo de 2025,211,261,281,331,582,672,363,413,,"Fire, Lightning, Tome"
Rondo,Yes,"Character%20List/Sword%2049.png, Character%20List/Light%2055.png",Available in GL,27 de marzo de 2025,14 de marzo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,11 de septiembre de 2025,13 de junio de 2024,Orsterra,283,333,282,332,251,301,30 de agosto de 2023,"6,6",B (6.99 - 6.00),Never,3.212,4.032,Fame,26 de mayo de 2022,C,"9,3",ロンド,Warrior,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,424,489,343,408,356,426,265,300,A1 then U Lv10,"Light, Sword"
Tressa EX,No,"Character%20List/Bow%2038.png, Character%20List/Fire%2071.png",Available in GL,27 de febrero de 2025,16 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de febrero de 2025,16 de noviembre de 2023,Orsterra,241,306,360,410,285,305,22 de noviembre de 2023,"4,15",D (4.99 - 4.00),Yes,3.080,3.900,Wealth,8 de septiembre de 2022,E,9,トレサEx,Hunter,Rippletide,Chance Encounters,Unavailable,,,384,449,333,383,357,437,240,290,Leave it at U Lv9,"Bow, Fire"
Heathcote,No,"Character%20List/Dagger%2017.png, Character%20List/Wind%2018.png",Available in GL,15 de mayo de 2025,20 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de mayo de 2025,11 de abril de 2024,Orsterra,343,393,286,336,253,303,3 de agosto de 2022,"2,78",E (3.99 - 0.00),Yes,2.822,3.642,Power,12 de noviembre de 2020,E,"9,1",ヒースコート,Thief,Cragspear,Chance Encounters,Available in JP,,5 de diciembre de 2024,348,413,280,300,342,422,420,485,Ultimate not worth,"Dagger, Wind"
Morffins,No,"Character%20List/Axe%2023.png, Character%20List/Ice%2031.png",Available in GL,13 de marzo de 2025,17 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de marzo de 2025,18 de enero de 2024,Solistia,238,288,441,506,238,288,13 de marzo de 2025,"4,86",D (4.99 - 4.00),Yes,3.220,4.040,Approval,17 de agosto de 2023,D,"9,2",モーフィンス,Apothecary,Memoir Logs,Chance Encounters,Available in JP,,8 de mayo de 2025,295,345,352,402,458,528,231,281,,"Axe, Ice"
Kersjes,Yes,"Character%20List/Bow%2018.png, Character%20List/Ice%2023.png",Available in GL,27 de febrero de 2025,12 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,21 de agosto de 2025,29 de agosto de 2024,Orsterra,365,430,315,365,248,268,18 de enero de 2023,"3,9",E (3.99 - 0.00),Yes,3.092,3.912,Fame,8 de abril de 2021,E,9,カージェス,Hunter,Victors Hollow,Chance Encounters,Unavailable,,,432,497,223,273,306,386,305,355,A1 then U Lv10,"Bow, Ice"
Oskha,Yes,"Character%20List/Spear_Polearm%2027.png, Character%20List/Fire%2049.png",Available in GL,12 de junio de 2025,23 de mayo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de junio de 2025,23 de mayo de 2024,Orsterra,281,316,245,295,285,335,12 de junio de 2025,"8,5",S (9.49 - 8.50),Never,3.490,4.390,Wealth,23 de mayo de 2024,A,"9,7",オスカ,Merchant,Memoir,Champion of Memories,Available in JP,,24 de octubre de 2024,394,459,353,403,412,492,225,260,,"Fire, Polearm"
