Name,Adjusted Character,Attributes,Class,Crit (Lv. 120),E.Atk (Lv. 120),E.Def (Lv. 120),GL Score,GL Tier,HP (Lv. 120),Influence,Japanese Name,Job,Location,P.Atk (Lv. 120),P.Def (Lv. 120),SP (Lv. 120),Spd (Lv. 120)
Cassia,Unreleased in GL,"Character%20List/Bow%205.png, Character%20List/Wind%207.png, Character%20List/Light%208.png, Character%20List/Dark%207.png",⭐️⭐️⭐️⭐️⭐️,420,315,283,,,3842,Domination,ケイシア,Hunter,Memoir Logs,492,263,486,410
Sigrid EX,,"Character%20List/Spear_Polearm%2034.png, Character%20List/Sword%2056.png, Character%20List/Fire%2065.png",⭐️⭐️⭐️⭐️⭐️,363,287,280,,,4030,Power,ジークリットEx,Merchant,Sheperd's Rock,449,385,366,321
Fiore,No,"Character%20List/Sword%2022.png, Character%20List/Dark%2021.png",⭐️⭐️⭐️⭐️⭐️,383,287,291,"3,5",E (3.99 - 0.00),4042,Fame,フィオル,Warrior,Rippletide,469,408,356,345
Ogen,No,"Character%20List/Axe%2028.png, Character%20List/Ice%2035.png",⭐️⭐️⭐️⭐️⭐️,253,516,288,"6,4",B (6.99 - 6.00),4030,Fame,オーゲン,Apothecary,Atlasdam,395,382,468,291
Yan Long,No,"Character%20List/Staff_Staves%2034.png, Character%20List/Ice%2051.png",⭐️⭐️⭐️⭐️⭐️,312,330,389,"5,92",C (5.99 - 5.00),3772,Wealth,イェンロン,Cleric,I'cirlo,431,317,428,376
Elrica EX2,Unreleased in GL,"Character%20List/Fan%209.png, Character%20List/Sword%2017.png, Character%20List/Light%2021.png, Character%20List/Lightning%204.png",⭐️⭐️⭐️⭐️⭐️,342,637,322,,,3616,Power,エリカの詳細,Dancer,Memoir,320,260,604,347
Millard,No,"Character%20List/Staff_Staves%2017.png, Character%20List/Light%2041.png",⭐️⭐️⭐️⭐️⭐️,313,430,484,"2,46",E (3.99 - 0.00),3512,Fame,ミロード,Cleric,Valore,301,342,500,346
Nicola,Yes,"Character%20List/Dagger%2027.png, Character%20List/Light%2044.png",⭐️⭐️⭐️⭐️⭐️,378,316,298,"5,78",C (5.99 - 5.00),3697,Fame,ニコラ,Thief,Emberglow,418,295,427,490
Tatloch EX,No,"Character%20List/Dagger%2039.png, Character%20List/Dark%2056.png",⭐️⭐️⭐️⭐️⭐️,368,486,322,"7,5",A (8.49 - 7.00),3712,Power,タトゥロックEx,Thief,Memoir,318,303,502,433
W’ludai,Yes,"Character%20List/Spear_Polearm%2038.png, Character%20List/Dark%2059.png",⭐️⭐️⭐️⭐️⭐️,261,330,310,"4,8",D (4.99 - 4.00),4340,Power,ウルダイ,Merchant,I'cirlo,479,368,372,338
Pirro,No,"Character%20List/Dagger%2032.png, Character%20List/Dark%2040.png",⭐️⭐️⭐️⭐️⭐️,383,276,285,"6,33",B (6.99 - 6.00),3752,Opulence,ピルロ,Thief,Memoir Logs,509,290,442,470
Gertrude,No,"Character%20List/Axe%2013.png, Character%20List/Dark%2022.png",⭐️⭐️⭐️⭐️⭐️,296,371,272,"4,27",D (4.99 - 4.00),4055,Wealth,ガートルード,Apothecary,Sufrataljah,454,371,458,281
Hujheb,Yes (CN only),Character%20List/Bow%2016.png,⭐️⭐️⭐️⭐️⭐️,450,250,268,"8,88",S (9.49 - 8.50),4052,Domination,ヒュージブ,Hunter,Memoir Logs,537,273,496,340
Morena,Unreleased in GL,"Character%20List/Tome%2027.png, Character%20List/Staff_Staves%2019.png, Character%20List/Wind%2034.png",⭐️⭐️⭐️⭐️⭐️,286,449,345,,,3546,Approval,モレーナ,Scholar,Memoir Logs,351,336,642,363
Alaune EX2,Unreleased in GL,"Character%20List/Sword%203.png, Character%20List/Fire%204.png, Character%20List/Ice%201.png, Character%20List/Lightning.png, Character%20List/Wind%202.png, Character%20List/Light%204.png, Character%20List/Dark%202.png",⭐️⭐️⭐️⭐️⭐️,428,562,371,,,4262,Power,剣士アラウネ,Warrior,Memoir,419,433,496,270
Cyrus,No,"Character%20List/Tome%205.png, Character%20List/Fire%2011.png, Character%20List/Ice%208.png, Character%20List/Lightning_Thunder%205.png",⭐️⭐️⭐️⭐️⭐️,296,519,380,"6,73",B (6.99 - 6.00),3406,Fame,サイラス,Scholar,Theatropolis,286,331,672,303
Isla,Yes,"Character%20List/Tome%2017.png, Character%20List/Fire%2029.png, Character%20List/Lightning_Thunder%2015.png",⭐️⭐️⭐️⭐️⭐️,276,479,375,"8,38",A (8.49 - 7.00),3406,Approval,アイラ,Scholar,Memoir,261,331,672,413
Rondo,Yes,"Character%20List/Sword%2049.png, Character%20List/Light%2055.png",⭐️⭐️⭐️⭐️⭐️,333,332,301,"6,6",B (6.99 - 6.00),4032,Fame,ロンド,Warrior,Memoir,489,408,426,300
Tressa EX,No,"Character%20List/Bow%2038.png, Character%20List/Fire%2071.png",⭐️⭐️⭐️⭐️⭐️,306,410,305,"4,15",D (4.99 - 4.00),3900,Wealth,トレサEx,Hunter,Rippletide,449,383,437,290
Heathcote,No,"Character%20List/Dagger%2017.png, Character%20List/Wind%2018.png",⭐️⭐️⭐️⭐️⭐️,393,336,303,"2,78",E (3.99 - 0.00),3642,Power,ヒースコート,Thief,Cragspear,413,300,422,485
Morffins,No,"Character%20List/Axe%2023.png, Character%20List/Ice%2031.png",⭐️⭐️⭐️⭐️⭐️,288,506,288,"4,86",D (4.99 - 4.00),4040,Approval,モーフィンス,Apothecary,Memoir Logs,345,402,528,281
Kersjes,Yes,"Character%20List/Bow%2018.png, Character%20List/Ice%2023.png",⭐️⭐️⭐️⭐️⭐️,430,365,268,"3,9",E (3.99 - 0.00),3912,Fame,カージェス,Hunter,Victors Hollow,497,273,386,355
Oskha,Yes,"Character%20List/Spear_Polearm%2027.png, Character%20List/Fire%2049.png",⭐️⭐️⭐️⭐️⭐️,316,295,335,"8,5",S (9.49 - 8.50),4390,Wealth,オスカ,Merchant,Memoir,459,403,492,260
Therese EX,,"Character%20List/Staff%2010.png, Character%20List/Wind%2058.png, Character%20List/Lightning%2014.png",⭐️⭐️⭐️⭐️⭐️,288,515,394,,,3532,Approval,テレーズEx,Cleric,Memoir,381,302,510,346
Eleonora,No,"Character%20List/Fan%207.png, Character%20List/Ice%2010.png",⭐️⭐️⭐️⭐️⭐️,282,498,427,"4,92",D (4.99 - 4.00),3606,Fame,エレオノーラ,Dancer,Atlasdam,303,264,574,417
Stead,No,"Character%20List/Staff_Staves%2030.png, Character%20List/Dark%2053.png",⭐️⭐️⭐️⭐️⭐️,308,455,459,"3,23",E (3.99 - 0.00),3547,Wealth,ステッド,Cleric,Donescu,316,337,465,336
Rique,Yes,"Character%20List/Spear_Polearm%2031.png, Character%20List/Wind%2044.png",⭐️⭐️⭐️⭐️⭐️,276,400,355,"7,33",A (8.49 - 7.00),3990,Wealth,リーク,Merchant,Memoir,454,388,432,300
Primrose,No,"Character%20List/Fan%2033.png, Character%20List/Dark%2041.png",⭐️⭐️⭐️⭐️⭐️,282,507,382,"5,47",C (5.99 - 5.00),3526,Power,プリムロゼ,Dancer,Sunshade,290,280,574,457
Alrond,Yes,"Character%20List/Spear_Polearm%201.png, Character%20List/Sword%204.png, Character%20List/Dagger%202.png, Character%20List/Axe%203.png, Character%20List/Bow%201.png, Character%20List/Staff_Staves%201.png, Character%20List/Tome%201.png, Character%20List/Fan%202.png, Character%20List/Light%205.png",⭐️⭐️⭐️⭐️⭐️,281,275,335,9,S (9.49 - 8.50),4100,Opulence,アルロンド,Merchant,Memoir Logs,409,398,542,360
Glossom,No,"Character%20List/Fan%2013.png, Character%20List/Lightning_Thunder%2012.png",⭐️⭐️⭐️⭐️⭐️,305,402,382,"3,69",E (3.99 - 0.00),3553,Power,グロッサム,Dancer,Donescu,390,285,549,402
Richard,No,"Character%20List/Sword%2046.png, Character%20List/Lightning_Thunder%2036.png",⭐️⭐️⭐️⭐️⭐️,323,297,301,"7,63",A (8.49 - 7.00),4067,Fame,リシャール,Warrior,Memoir,474,418,376,365
Richard EX,Unreleased in GL,"Character%20List/Sword%2047.png, Character%20List/Polearm%207.png, Character%20List/Dagger%2035.png, Character%20List/Axe%2031.png, Character%20List/Bow%2032.png, Character%20List/Staff%207.png, Character%20List/Tome%2039.png, Character%20List/Fan%2035.png",⭐️⭐️⭐️⭐️⭐️,451,295,360,,,4650,Fame,商人リシャール,Merchant,Memoir,614,448,472,260
Relisha,,"Character%20List/Staff_Staves%2027.png, Character%20List/Lightning_Thunder%2034.png",⭐️⭐️⭐️⭐️⭐️,348,395,387,,,3522,Domination,レリーシャ,Cleric,Memoir Logs,436,334,480,346
Cecily,No,"Character%20List/Spear_Polearm%205.png, Character%20List/Axe%206.png, Character%20List/Tome%204.png, Character%20List/Light%2010.png",⭐️⭐️⭐️⭐️⭐️,251,320,320,"7,08",A (8.49 - 7.00),4190,Fame,セシリー,Merchant,Grandport,449,363,477,365
Feintz,Unreleased in GL,"Character%20List/Sword%2020.png, Character%20List/Polearm%202.png, Character%20List/Fire%2020.png",⭐️⭐️⭐️⭐️⭐️,413,297,351,,,4432,Power,フェインツ,Warrior,Memoir,554,443,466,425
Ditraina,No,"Character%20List/Tome%206.png, Character%20List/Light%2014.png, Character%20List/Dark%2013.png",⭐️⭐️⭐️⭐️⭐️,391,539,355,"6,63",B (6.99 - 6.00),3386,Power,ディトレイナ,Scholar,Valore,271,296,640,323
2B,No,"Character%20List/Sword.png, Character%20List/Axe.png, Character%20List/Fire.png, Character%20List/Dark.png",⭐️⭐️⭐️⭐️⭐️,338,307,296,"4,89",D (4.99 - 4.00),4062,Fame,2B,Warrior,Memoir,499,388,371,355
Primrose EX,No,"Character%20List/Axe%2030.png, Character%20List/Lightning_Thunder%2032.png",⭐️⭐️⭐️⭐️⭐️,297,507,382,"8,07",A (8.49 - 7.00),3526,Power,プリムロゼEx,Apothecary,Sunshade,290,280,574,442
Sofia,No,"Character%20List/Tome%2041.png, Character%20List/Ice%2045.png",⭐️⭐️⭐️⭐️⭐️,296,454,385,"4,33",D (4.99 - 4.00),3556,Wealth,ソフィア,Scholar,Emberglow,281,341,652,333
Alaune,No,"Character%20List/Tome.png, Character%20List/Fire%203.png, Character%20List/Light%203.png",⭐️⭐️⭐️⭐️⭐️,261,469,410,"4,25",D (4.99 - 4.00),3566,Power,アラウネ,Scholar,Memoir,251,366,667,343
Sertet,No,"Character%20List/Bow%2035.png, Character%20List/Wind%2049.png",⭐️⭐️⭐️⭐️⭐️,420,252,263,"4,33",D (4.99 - 4.00),3902,Power,セルテト,Hunter,Sufrataljah,487,263,536,395
Ochette EX,No,"Character%20List/Sword%2040.png, Character%20List/Polearm%206.png, Character%20List/Dagger%2029.png, Character%20List/Axe%2027.png, Character%20List/Bow%2029.png, Character%20List/Staff%205.png, Character%20List/Tome%2034.png, Character%20List/Fan%2031.png, Character%20List/Fire%2046.png, Character%20List/Ice%2034.png, Character%20List/Lightning%2010.png",⭐️⭐️⭐️⭐️⭐️,303,297,291,,,3902,Opulence,オーシュットEx,Warrior,Memoir Logs,494,413,466,370
9S,No,"Character%20List/Spear_Polearm.png, Character%20List/Fire%201.png, Character%20List/Lightning_Thunder.png",⭐️⭐️⭐️⭐️⭐️,251,439,340,"3,44",E (3.99 - 0.00),4140,Wealth,9S,Merchant,Memoir,300,403,442,355
Signa EX,Unreleased in GL,"Character%20List/Axe%2038.png, Character%20List/Sword%2054.png, Character%20List/Polearm%208.png, Character%20List/Staff%208.png",⭐️⭐️⭐️⭐️⭐️,258,301,298,,,4760,Approval,シグナEx,Apothecary,Memoir,490,407,448,246
Gilderoy,No,"Character%20List/Spear_Polearm%2011.png, Character%20List/Lightning_Thunder%2011.png",⭐️⭐️⭐️⭐️⭐️,286,330,350,"4,29",D (4.99 - 4.00),4428,Power,ギルデロイ,Merchant,Clearbrook,419,413,402,243
Olberic,No,"Character%20List/Sword%2042.png, Character%20List/Spear_Polearm%2025.png, Character%20List/Lightning_Thunder%2027.png",⭐️⭐️⭐️⭐️⭐️,308,287,321,"4,92",D (4.99 - 4.00),4272,Power,オルベリク,Warrior,Sheperd's Rock,499,443,361,270
Grieg,No,"Character%20List/Sword%2023.png, Character%20List/Fire%2024.png",⭐️⭐️⭐️⭐️⭐️,333,277,351,"4,6",D (4.99 - 4.00),4222,Domination,グリーグ,Warrior,Memoir Logs,489,448,366,260
Millard EX,Yes,"Character%20List/Spear_Polearm%2020.png, Character%20List/Ice%2030.png",⭐️⭐️⭐️⭐️⭐️,313,415,469,"6,2",B (6.99 - 6.00),3672,Fame,ミロードEx,Merchant,Valore,316,342,500,331
Emil,No,"Character%20List/Staff_Staves%207.png, Character%20List/Tome%2010.png, Character%20List/Dark%2018.png",⭐️⭐️⭐️⭐️⭐️,288,530,399,"7,57",A (8.49 - 7.00),3502,Wealth,エミール,Cleric,Memoir,276,307,670,336
A2,No,"Character%20List/Dagger.png, Character%20List/Sword%201.png, Character%20List/Axe%201.png",⭐️⭐️⭐️⭐️⭐️,418,130,298,"5,89",C (5.99 - 5.00),3832,Power,A2,Thief,Memoir,519,325,412,515
Ceraphina,No,"Character%20List/Dark%209.png, Character%20List/Light%2012.png",⭐️⭐️⭐️⭐️⭐️,263,571,328,"7,13",A (8.49 - 7.00),4000,Fame,セラフィナ,Apothecary,Memoir,285,382,488,341
Elrica,Yes (CN only),"Character%20List/Sword%2015.png, Character%20List/Fire%2019.png, Character%20List/Lightning_Thunder%207.png, Character%20List/Light%2020.png, Character%20List/Dark%2016.png",⭐️⭐️⭐️⭐️⭐️,383,277,301,7,A (8.49 - 7.00),4052,Power,エリカ,Warrior,Memoir,494,403,416,305
Yomi,Unreleased in GL,"Character%20List/Fan%2040.png, Character%20List/Sword%2062.png, Character%20List/Ice%2052.png, Character%20List/Light%2068.png",⭐️⭐️⭐️⭐️⭐️,312,532,442,,,4096,Approval,ヨミ,Dancer,Memoir Logs,345,355,624,477
NieR,No,"Character%20List/Spear_Polearm%2021.png, Character%20List/Sword%2036.png, Character%20List/Dark%2032.png",⭐️⭐️⭐️⭐️⭐️,311,275,345,"8,14",A (8.49 - 7.00),4170,Fame,ニーア,Merchant,Memoir,509,343,442,335
Nada,Unreleased in GL,"Character%20List/Tome%2028.png, Character%20List/Light%2043.png",⭐️⭐️⭐️⭐️⭐️,366,574,420,,,4056,Approval,ナーダ,Scholar,Memoir Logs,316,356,712,363
Aviete,Unreleased in GL,"Character%20List/Staff.png, Character%20List/Sword%207.png, Character%20List/Polearm.png, Character%20List/Dagger%205.png, Character%20List/Tome%203.png, Character%20List/Fan%203.png, Character%20List/Fire%206.png, Character%20List/Ice%204.png, Character%20List/Lightning%202.png, Character%20List/Wind%204.png, Character%20List/Light%206.png, Character%20List/Dark%206.png",⭐️⭐️⭐️⭐️⭐️,263,500,454,,,3502,Fame,アヴィーテ,Cleric,Memoir,266,352,530,381
Promme,No,"Character%20List/Staff_Staves%2025.png, Character%20List/Fire%2054.png",⭐️⭐️⭐️⭐️⭐️,318,450,444,"3,63",E (3.99 - 0.00),3637,Power,プロメ,Cleric,Victors Hollow,326,327,470,316
Harley,Yes,"Character%20List/Fan%2015.png, Character%20List/Wind%2017.png",⭐️⭐️⭐️⭐️⭐️,297,445,401,"4,42",D (4.99 - 4.00),3651,Fame,ハーレー,Dancer,Victors Hollow,307,289,522,421
Partitio EX,,"Character%20List/Dagger%2031.png, Character%20List/Staff%206.png",⭐️⭐️⭐️⭐️⭐️,538,266,268,,,3742,Opulence,パルテティオEx,Thief,Memoir,423,255,402,500
Ophilia,No,"Character%20List/Staff_Staves%2023.png, Character%20List/Light%2047.png",⭐️⭐️⭐️⭐️⭐️,293,445,464,"6,23",B (6.99 - 6.00),3497,Fame,オフィーリア,Cleric,Emberglow,301,342,550,341
Ringabel,No,"Character%20List/Sword%2048.png, Character%20List/Dark%2045.png",⭐️⭐️⭐️⭐️⭐️,438,277,306,"7,5",A (8.49 - 7.00),4052,Wealth,リングアベル,Warrior,Memoir,499,413,366,270
Elvis,No,"Character%20List/Tome%209.png, Character%20List/Lightning_Thunder%209.png",⭐️⭐️⭐️⭐️⭐️,276,439,355,"2,78",E (3.99 - 0.00),3796,Fame,エルヴィス,Scholar,Theatropolis,296,326,592,323
Hikari,Yes (CN only),"Character%20List/Sword%2025.png, Character%20List/Spear_Polearm%2014.png, Character%20List/Dagger%2018.png, Character%20List/Axe%2015.png, Character%20List/Bow%2015.png, Character%20List/Staff_Staves%209.png, Character%20List/Tome%2016.png, Character%20List/Fan%2019.png",⭐️⭐️⭐️⭐️⭐️,353,267,321,"7,33",A (8.49 - 7.00),4062,Domination,ヒカリ,Warrior,Memoir Logs,494,423,376,330
Theo,No,"Character%20List/Axe%2044.png, Character%20List/Lightning_Thunder%2043.png",⭐️⭐️⭐️⭐️⭐️,258,371,288,"3,92",E (3.99 - 0.00),4050,Power,テオ,Apothecary,Theatropolis,400,447,488,336
Osvald EX,No,"Character%20List/Dark%2037.png, Character%20List/Light%2049.png",⭐️⭐️⭐️⭐️⭐️,268,560,474,,,3452,Domination,オズバルドEx,Cleric,Memoir Logs,281,282,550,326
Tithi,No,"Character%20List/Fan%2039.png, Character%20List/Lightning_Thunder%2045.png",⭐️⭐️⭐️⭐️⭐️,274,482,387,"5,6",C (5.99 - 5.00),3596,Fame,ティティ,Dancer,Sufrataljah,280,277,564,477
Kilns,Yes,"Character%20List/Bow%2019.png, Character%20List/Lightning_Thunder%2016.png",⭐️⭐️⭐️⭐️⭐️,460,260,313,"9,57",S+ (10.00 - 9.50),4192,Power,キルン,Hunter,Memoir,437,318,451,415
Therese,No,"Character%20List/Tome%2046.png, Character%20List/Lightning_Thunder%2044.png",⭐️⭐️⭐️⭐️⭐️,316,439,380,"2,75",E (3.99 - 0.00),3536,Fame,テレーズ,Scholar,Theatropolis,276,331,657,353
Reime,Unreleased in GL,"Character%20List/Sword%2045.png, Character%20List/Dark%2043.png",⭐️⭐️⭐️⭐️⭐️,428,277,301,,,3952,Power,レイメ,Warrior,Memoir,519,393,406,340
Kainé,No,"Character%20List/Dagger%2020.png, Character%20List/Light%2030.png",⭐️⭐️⭐️⭐️⭐️,418,291,248,"9,25",S (9.49 - 8.50),4072,Power,カイネ,Thief,Memoir,573,245,402,395
Xerc,No,"Character%20List/Tome%2049.png, Character%20List/Fire%2074.png, Character%20List/Ice%2050.png, Character%20List/Lightning%2015.png, Character%20List/Wind%2064.png, Character%20List/Light%2067.png, Character%20List/Dark%2061.png",⭐️⭐️⭐️⭐️⭐️,296,529,370,,,3421,Wealth,セルク,Scholar,Memoir,241,321,662,348
Castti,No,Character%20List/Axe%205.png,⭐️⭐️⭐️⭐️⭐️,288,336,353,"7,78",A (8.49 - 7.00),3900,Approval,キャスティ,Apothecary,Memoir Logs,485,427,458,296
Tiziano EX,Unreleased in GL,"Character%20List/Polearm%209.png, Character%20List/Dagger%2043.png, Character%20List/Wind%2061.png",⭐️⭐️⭐️⭐️⭐️,376,345,365,,,4930,Wealth,ティツィアーノEx,Merchant,Memoir,549,398,442,320
Lumis EX,Yes,"Character%20List/Bow%2024.png, Character%20List/Lightning_Thunder%2021.png",⭐️⭐️⭐️⭐️⭐️,309,353,244,"6,67",B (6.99 - 6.00),3985,Fame,リュミスEx,Hunter,Donescu,430,406,459,383
Kagemune,No,"Character%20List/Dagger%2019.png, Character%20List/Fire%2031.png, Character%20List/Ice%2021.png, Character%20List/Wind%2020.png",⭐️⭐️⭐️⭐️⭐️,428,286,228,"6,67",B (6.99 - 6.00),3682,Domination,カゲムネ,Thief,Memoir Logs,488,225,432,525
Sonia,No,"Character%20List/Dagger%2038.png, Character%20List/Wind%2053.png",⭐️⭐️⭐️⭐️⭐️,343,401,288,"7,14",A (8.49 - 7.00),3722,Wealth,ソニア,Thief,Memoir,438,275,417,495
Hayes,No,"Character%20List/Axe%2014.png, Character%20List/Fire%2027.png",⭐️⭐️⭐️⭐️⭐️,317,387,280,5,C (5.99 - 5.00),3990,Power,ヘイズ,Apothecary,Cragspear,470,390,418,318
Rondo EX,Unreleased in GL,"Character%20List/Sword%2050.png, Character%20List/Dagger%2036.png, Character%20List/Tome%2040.png, Character%20List/Ice%2042.png, Character%20List/Light%2056.png, Character%20List/Dark%2048.png",⭐️⭐️⭐️⭐️⭐️,316,549,360,,,3596,Fame,ロンドEx,Scholar,Memoir,251,296,662,323
Dolcinaea,No,"Character%20List/Fan%206.png, Character%20List/Fire%2015.png, Character%20List/Wind%2013.png",⭐️⭐️⭐️⭐️⭐️,317,547,352,"6,83",B (6.99 - 6.00),3586,Approval,ドルシネア,Dancer,Memoir Logs,290,275,564,417
Varkyn,No,"Character%20List/Tome%2047.png, Character%20List/Light%2064.png",⭐️⭐️⭐️⭐️⭐️,281,484,350,"5,31",C (5.99 - 5.00),3686,Power,ヴァルカン,Scholar,Cathedral of Thytos,281,336,592,323
Kouren,No,"Character%20List/Sword%2028.png, Character%20List/Light%2031.png",⭐️⭐️⭐️⭐️⭐️,393,377,266,"3,77",E (3.99 - 0.00),4042,Wealth,コウレン,Warrior,Grandport,449,363,361,330
Gloria,No,"Character%20List/Staff_Staves%208.png, Character%20List/Ice%2014.png, Character%20List/Light%2025.png",⭐️⭐️⭐️⭐️⭐️,313,500,449,"7,6",A (8.49 - 7.00),3522,Fame,グローリア,Cleric,Memoir,281,352,540,321
Avar,Unreleased in GL,"Character%20List/Axe%204.png, Character%20List/Sword%206.png, Character%20List/Fire%205.png, Character%20List/Dark%205.png",⭐️⭐️⭐️⭐️⭐️,258,306,303,,,4040,Domination,アヴァル,Apothecary,Memoir Logs,525,452,438,351
