Name,Adjusted Character,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,BotL Lv.2 Date in JP,BotL Lv.2 in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,Overcharge,Overcharge Date in GL,Overcharge Date in JP,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Weakness to hit
Nona,No,"Character%20List/Spear_Polearm%202.png, Character%20List/Fire%204.png",Available in GL,20 de febrero de 2025,14 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de febrero de 2025,14 de febrero de 2024,Orsterra,241,276,325,375,291,341,17 de mayo de 2023,"4,58",D (4.99 - 4.00),Yes,3465,4365,Wealth,20 de enero de 2022,D | 9.2-9.1,"9,2",ノーニャ,Merchant,Berecain,Chance Encounters,Available in GL,30 de abril de 2026,,382,447,317,367,332,412,225,260,"Fire, Polearm"
Eleonora,No,"Character%20List/Fan%201.png, Character%20List/Ice%201.png",Available in GL,6 de marzo de 2025,22 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,28 de agosto de 2025,23 de mayo de 2024,Orsterra,247,282,433,498,377,427,31 de mayo de 2023,"4,92",D (4.99 - 4.00),Yes,2786,3606,Fame,3 de febrero de 2022,D | 9.2-9.1,"9,2",エレオノーラ,Dancer,Atlasdam,Chance Encounters,Available in JP,,24 de octubre de 2024,253,303,214,264,504,574,352,417,"Fan, Ice"
Richard,No,"Character%20List/Sword%201.png, Character%20List/Lightning_Thunder%202.png",Available in GL,27 de marzo de 2025,14 de marzo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,28 de agosto de 2025,11 de julio de 2024,Orsterra,273,323,247,297,251,301,7 de junio de 2023,"7,63",A (8.49 - 7.00),Never,3247,4067,Fame,10 de febrero de 2022,C | 9.4-9.3,"9,3",リシャール,Warrior,Memoir,Traveler of Memories,Unavailable,,,409,474,353,418,306,376,330,365,"Lightning, Sword"
Nicola,Yes,"Character%20List/Dagger%203.png, Character%20List/Light%202.png",Available in GL,6 de febrero de 2025,5 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de febrero de 2025,7 de diciembre de 2023,Orsterra,328,378,266,316,248,298,14 de diciembre de 2022,"5,78",C (5.99 - 5.00),Yes,2877,3697,Fame,11 de diciembre de 2020,E | 9.0,9,ニコラ,Thief,Emberglow,Chance Encounters,Available in JP,,5 de diciembre de 2024,353,418,275,295,347,427,425,490,"Dagger, Light"
Tressa EX,No,"Character%20List/Bow%201.png, Character%20List/Fire%205.png",Available in GL,27 de febrero de 2025,16 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de febrero de 2025,16 de noviembre de 2023,Orsterra,241,306,360,410,285,305,22 de noviembre de 2023,"4,15",D (4.99 - 4.00),Yes,3080,3900,Wealth,8 de septiembre de 2022,F | 8.0,8,トレサEx,Hunter,Rippletide,Chance Encounters,Unavailable,,,384,449,333,383,357,437,240,290,"Bow, Fire"
Cyrus,No,"Character%20List/Tome%201.png, Character%20List/Fire%206.png, Character%20List/Ice%202.png, Character%20List/Lightning_Thunder%203.png",Available in GL,23 de enero de 2025,13 de julio de 2023,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,23 de enero de 2025,26 de octubre de 2023,Orsterra,246,296,454,519,330,380,21 de diciembre de 2022,"6,73",B (6.99 - 6.00),Yes,2746,3406,Fame,18 de marzo de 2021,E | 9.0,9,サイラス,Scholar,Theatropolis,Chance Encounters,Available in GL,30 de octubre de 2025,6 de enero de 2025,236,286,281,331,582,672,253,303,"Fire, Ice, Lightning, Tome"
Rondo,Yes,"Character%20List/Sword%202.png, Character%20List/Light%203.png",Available in GL,27 de marzo de 2025,14 de marzo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,11 de septiembre de 2025,13 de junio de 2024,Orsterra,283,333,282,332,251,301,30 de agosto de 2023,"6,6",B (6.99 - 6.00),Never,3212,4032,Fame,26 de mayo de 2022,D | 9.2-9.1,9,ロンド,Warrior,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,424,489,343,408,356,426,265,300,"Light, Sword"
Heathcote,No,"Character%20List/Dagger%204.png, Character%20List/Wind%206.png",Available in GL,15 de mayo de 2025,20 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de mayo de 2025,11 de abril de 2024,Orsterra,343,393,286,336,253,303,3 de agosto de 2022,"2,78",E (3.99 - 0.00),Yes,2822,3642,Power,12 de noviembre de 2020,F | 8.0,8,ヒースコート,Thief,Cragspear,Chance Encounters,Available in JP,,5 de diciembre de 2024,348,413,280,300,342,422,420,485,"Dagger, Wind"
Molu,No,"Character%20List/Tome%202.png, Character%20List/Fire%207.png",Available in GL,13 de febrero de 2025,26 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,12 de junio de 2025,25 de abril de 2024,Orsterra,246,296,414,479,320,370,11 de enero de 2023,"4,46",D (4.99 - 4.00),Yes,2831,3491,Wealth,27 de mayo de 2021,F+ | 8.5,"8,5",ムールゥ,Scholar,Sufrataljah,Chance Encounters,Available in JP,,19 de junio de 2025,241,291,261,311,562,652,293,343,"Fire, Tome"
Primrose,No,"Character%20List/Fan%202.png, Character%20List/Dark%201.png",Available in GL,23 de enero de 2025,27 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de julio de 2025,8 de agosto de 2024,Orsterra,247,282,442,507,332,382,10 de agosto de 2022,"5,47",C (5.99 - 5.00),Yes,2706,3526,Power,13 de julio de 2021,D | 9.2-9.1,"9,1",プリムロゼ,Dancer,Sunshade,Chance Encounters,Available in JP,,16 de enero de 2025,240,290,230,280,504,574,392,457,"Dark, Fan"
Cecily,No,"Character%20List/Spear_Polearm%203.png, Character%20List/Axe%201.png, Character%20List/Tome%203.png, Character%20List/Light%204.png",Available in GL,20 de febrero de 2025,14 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de febrero de 2025,14 de febrero de 2024,Orsterra,216,251,270,320,270,320,13 de septiembre de 2023,"7,08",A (8.49 - 7.00),Yes,3290,4190,Fame,7 de octubre de 2021,E | 9.0,9,セシリー,Merchant,Grandport,Chance Encounters,Available in GL,30 de abril de 2026,,384,449,313,363,397,477,330,365,"Axe, Light, Polearm, Tome"
Elrica,Yes,"Character%20List/Sword%203.png, Character%20List/Fire%208.png, Character%20List/Lightning_Thunder%204.png, Character%20List/Light%205.png, Character%20List/Dark%202.png",Available in GL,23 de octubre de 2025,22 de agosto de 2024,23 de octubre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,23 de octubre de 2025,22 de agosto de 2024,Orsterra,333,383,227,277,251,301,24 de abril de 2024,7,A (8.49 - 7.00),Never,3232,4052,Power,1 de enero de 2023,C | 9.4-9.3,"9,4",エリカ,Warrior,Memoir,Traveler of Memories,Available in JP,,29 de mayo de 2025,429,494,338,403,346,416,270,305,"Dark, Light, Sword"
Stead,No,"Character%20List/Staff_Staves.png, Character%20List/Dark%203.png",Available in GL,6 de febrero de 2025,21 de septiembre de 2023,5 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,4 de julio de 2024,Orsterra,273,308,390,455,394,459,28 de septiembre de 2022,"3,23",E (3.99 - 0.00),Yes,2807,3547,Wealth,11 de marzo de 2021,D | 9.2-9.1,"9,1",ステッド,Cleric,Donescu,Chance Encounters,Available in GL,30 de octubre de 2025,7 de noviembre de 2024,266,316,287,337,385,465,286,336,"Dark, Staff"
Sonia,No,"Character%20List/Dagger%205.png, Character%20List/Wind%207.png",Available in GL,27 de marzo de 2025,21 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,3 de julio de 2025,16 de mayo de 2024,Orsterra,293,343,351,401,238,288,24 de enero de 2024,"7,14",A (8.49 - 7.00),Never,2902,3722,Wealth,28 de octubre de 2022,C | 9.4-9.3,"9,3",ソニア,Thief,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,373,438,255,275,337,417,430,495,"Dagger, Wind"
Glossom,No,"Character%20List/Fan%203.png, Character%20List/Lightning_Thunder%205.png",Available in GL,3 de julio de 2025,6 de junio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,3 de julio de 2025,6 de junio de 2024,Orsterra,270,305,337,402,332,382,5 de octubre de 2022,"3,69",E (3.99 - 0.00),Never,2733,3553,Power,11 de marzo de 2021,F+ | 8.5,"8,5",グロッサム,Dancer,Donescu,Tourney,Unavailable,,,340,390,235,285,479,549,337,402,"Fan, Lightning"
Primrose EX,No,"Character%20List/Axe%202.png, Character%20List/Lightning_Thunder%206.png",Available in GL,24 de abril de 2025,31 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,,26 de septiembre de 2024,Orsterra,247,297,442,507,332,382,22 de noviembre de 2023,"8,07",A (8.49 - 7.00),Yes,2706,3526,Power,22 de septiembre de 2022,C | 9.4-9.3,"9,4",プリムロゼEx,Apothecary,Sunshade,Chance Encounters,Available in JP,,,240,290,230,280,504,574,392,442,"Axe, Lightning"
Millard EX,Yes,"Character%20List/Spear_Polearm%204.png, Character%20List/Ice%203.png",Available in GL,25 de diciembre de 2025,14 de diciembre de 2023,11 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,25 de diciembre de 2025,14 de diciembre de 2023,Orsterra,278,313,365,415,419,469,6 de diciembre de 2023,"6,2",B (6.99 - 6.00),Never,2772,3672,Fame,8 de diciembre de 2022,F+ | 8.5,"8,5",ミロードEx,Merchant,Valore,Hallowed Travelers,Available in GL,25 de diciembre de 2025,12 de diciembre de 2024,251,316,292,342,420,500,296,331,"Ice, Polearm"
Harley,Yes,"Character%20List/Fan%204.png, Character%20List/Wind%208.png",Available in GL,15 de mayo de 2025,14 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de mayo de 2025,11 de abril de 2024,Orsterra,262,297,380,445,351,401,28 de diciembre de 2022,"4,42",D (4.99 - 4.00),Yes,2831,3651,Fame,10 de febrero de 2021,E | 9.0,9,ハーレー,Dancer,Victors Hollow,Chance Encounters,Available in GL,,27 de marzo de 2025,257,307,239,289,452,522,356,421,"Fan, Wind"
Alaune,No,"Character%20List/Tome%204.png, Character%20List/Fire%209.png, Character%20List/Light%206.png",Available in GL,24 de abril de 2025,25 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de abril de 2025,25 de enero de 2024,Orsterra,211,261,404,469,360,410,28 de junio de 2023,"4,25",D (4.99 - 4.00),Never,2906,3566,Power,31 de marzo de 2022,D | 9.2-9.1,"9,1",アラウネ,Scholar,Memoir,Traveler of Memories,Unavailable,,,201,251,316,366,577,667,293,343,"Fire, Light, Tome"
Hammy,No,"Character%20List/Tome%205.png, Character%20List/Ice%204.png",Available in GL,,12 de septiembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,,12 de septiembre de 2024,Orsterra,276,326,279,344,295,345,7 de febrero de 2024,"5,78",C (5.99 - 5.00),Never,2756,3416,Fame,10 de noviembre de 2022,C | 9.4-9.3,"9,3",ハミィ,Scholar,I'cirlo,Tourney,Unavailable,,,401,451,256,306,350,440,403,453,"Ice, Tome"
Varkyn,No,"Character%20List/Tome%206.png, Character%20List/Light%207.png",Available in GL,19 de junio de 2025,12 de septiembre de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,19 de junio de 2025,12 de septiembre de 2024,Orsterra,231,281,419,484,300,350,2 de noviembre de 2022,"5,31",C (5.99 - 5.00),Never,3026,3686,Power,8 de abril de 2021,F+ | 8.5,"8,5",ヴァルカン,Scholar,Cathedral of Thytos,Tourney,Available in GL,23 de abril de 2026,,231,281,286,336,502,592,273,323,"Light, Tome"
H’aanit EX,No,"Character%20List/Fan%205.png, Character%20List/Fire%2010.png",Available in GL,24 de abril de 2025,4 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,,9 de mayo de 2024,Orsterra,342,377,327,392,255,305,7 de febrero de 2024,"7,63",A (8.49 - 7.00),Yes,3096,3916,Fame,2 de febrero de 2023,C | 9.4-9.3,"9,3",ハンイットEx,Dancer,Valore,Chance Encounters,Available in JP,,,388,438,231,281,369,439,350,415,"Fan, Fire"
Falco,Yes,"Character%20List/Dagger%206.png, Character%20List/Ice%205.png",Available in GL,6 de febrero de 2025,5 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de febrero de 2025,14 de marzo de 2024,Orsterra,338,388,246,296,278,328,8 de marzo de 2023,"5,36",C (5.99 - 5.00),Yes,2902,3722,Power,26 de agosto de 2021,E | 9.0,9,ファルコ,Thief,Flamesgrace,Chance Encounters,Available in GL,,5 de junio de 2025,348,413,300,320,362,442,410,475,"Dagger, Ice"
Promme,No,"Character%20List/Staff_Staves%201.png, Character%20List/Fire%2011.png",Available in GL,6 de febrero de 2025,21 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de febrero de 2025,28 de marzo de 2024,Orsterra,283,318,385,450,379,444,20 de septiembre de 2023,"3,63",E (3.99 - 0.00),Yes,2897,3637,Power,10 de junio de 2021,E | 9.0,9,プロメ,Cleric,Victors Hollow,Chance Encounters,Available in GL,30 de abril de 2026,,276,326,277,327,390,470,266,316,"Fire, Staff"
Tytos,Yes,"Character%20List/Sword%204.png, Character%20List/Lightning_Thunder%207.png",Available in GL,18 de diciembre de 2025,2 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,18 de diciembre de 2025,2 de noviembre de 2023,Orsterra,338,388,257,307,231,281,26 de julio de 2023,"5,88",C (5.99 - 5.00),Never,3252,4072,Power,28 de abril de 2022,F+ | 8.5,"8,5",タイタス,Warrior,Memoir,Champion of Memories,Available in GL,18 de diciembre de 2025,24 de octubre de 2024,449,514,358,423,306,376,280,315,"Lightning, Sword"
Therese,No,"Character%20List/Tome%207.png, Character%20List/Lightning_Thunder%208.png",Available in GL,13 de febrero de 2025,17 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de febrero de 2025,18 de enero de 2024,Orsterra,266,316,374,439,330,380,17 de agosto de 2022,"2,75",E (3.99 - 0.00),Yes,2876,3536,Fame,26 de noviembre de 2020,F | 8.0,8,テレーズ,Scholar,Theatropolis,Chance Encounters,Available in GL,,6 de enero de 2025,226,276,281,331,567,657,303,353,"Lightning, Tome"
Serenoa,No,"Character%20List/Sword%205.png, Character%20List/Fire%2012.png",Available in GL,29 de mayo de 2025,4 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,29 de mayo de 2025,4 de enero de 2024,Norzelia (TRIANGLE STRATEGY),348,398,242,292,216,266,20 de septiembre de 2023,"5,43",C (5.99 - 5.00),Never,3222,4042,Power,28 de julio de 2022,F+ | 8.5,"8,5",セレノア,Warrior,Memoir,Free (Collab Traveler Story),Available in JP,,17 de julio de 2025,379,444,338,403,301,371,315,350,"Fire, Sword"
Kouren,No,"Character%20List/Sword%206.png, Character%20List/Light%208.png",Available in GL,27 de febrero de 2025,22 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,28 de agosto de 2025,15 de agosto de 2024,Orsterra,343,393,327,377,216,266,24 de agosto de 2022,"3,77",E (3.99 - 0.00),Yes,3222,4042,Wealth,21 de julio de 2021,F | 8.0,8,コウレン,Warrior,Grandport,Chance Encounters,Available in GL,30 de octubre de 2025,19 de diciembre de 2024,384,449,298,363,291,361,295,330,"Light, Sword"
Elvis,No,"Character%20List/Tome%208.png, Character%20List/Lightning_Thunder%209.png",Available in GL,,29 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,,22 de noviembre de 2023,Excillant (BRAVELY DEFAULT II),226,276,374,439,305,355,5 de octubre de 2022,"2,78",E (3.99 - 0.00),Never,3136,3796,Fame,28 de abril de 2021,F+ | 8.5,"8,5",エルヴィス,Scholar,Theatropolis,Free (Collab Traveler Story),Available in GL,14 de mayo de 2026,,246,296,276,326,502,592,273,323,"Lightning, Tome"
Z’aanta,No,"Character%20List/Bow%202.png, Character%20List/Dagger%207.png, Character%20List/Fan%206.png, Character%20List/Light%209.png",Available in GL,6 de marzo de 2025,14 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de marzo de 2025,28 de marzo de 2024,Orsterra,365,430,290,340,233,253,9 de noviembre de 2022,"5,25",C (5.99 - 5.00),Yes,3222,4042,Wealth,28 de enero de 2021,F | 8.0,8,ザンター,Hunter,Victors Hollow,Chance Encounters,Unavailable,,,397,462,238,288,371,451,315,365,"Bow, Dagger, Fan, Light"
Nephti,Yes,"Character%20List/Axe%203.png, Character%20List/Staff_Staves%202.png, Character%20List/Tome%209.png",Available in GL,17 de abril de 2025,21 de septiembre de 2023,22 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,17 de abril de 2025,21 de diciembre de 2023,Orsterra,203,253,251,316,360,410,21 de febrero de 2024,"7,71",A (8.49 - 7.00),Never,3200,4020,Fame,19 de enero de 2023,D | 9.2-9.1,"9,1",ネフティ,Apothecary,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,355,405,400,450,348,418,286,336,"Axe, Staff, Tome"
Gertrude,No,"Character%20List/Axe%204.png, Character%20List/Dark%204.png",Available in GL,1 de mayo de 2025,31 de enero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de mayo de 2025,31 de enero de 2024,Orsterra,246,296,306,371,222,272,11 de enero de 2023,"4,27",D (4.99 - 4.00),Never,3235,4055,Wealth,10 de junio de 2021,F | 8.0,8,ガートルード,Apothecary,Sufrataljah,Tourney,Unavailable,,,404,454,321,371,388,458,231,281,"Axe, Dark"
Adelle,No,"Character%20List/Dagger%208.png, Character%20List/Light%2010.png",Available in GL,10 de abril de 2025,29 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,10 de abril de 2025,30 de noviembre de 2023,Excillant (BRAVELY DEFAULT II),348,398,266,316,228,278,5 de octubre de 2022,"4,63",D (4.99 - 4.00),Never,2887,3707,Wealth,28 de abril de 2021,F+ | 8.5,"8,5",アデル,Thief,Nameless Town,BRAVELY DEFAULT Crossover Guidance,Available in GL,14 de mayo de 2026,,398,463,255,275,327,407,425,490,"Dagger, Light"
Lumis EX,Yes,"Character%20List/Bow%203.png, Character%20List/Lightning_Thunder%2010.png",Available in GL,25 de diciembre de 2025,14 de diciembre de 2023,11 de diciembre de 2025,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,25 de diciembre de 2025,14 de diciembre de 2023,Orsterra,244,309,303,353,224,244,6 de diciembre de 2023,"6,67",B (6.99 - 6.00),Never,3165,3985,Fame,15 de diciembre de 2022,F+ | 8.5,"8,5",リュミスEx,Hunter,Donescu,Hallowed Travelers,Available in GL,25 de diciembre de 2025,12 de diciembre de 2024,365,430,356,406,379,459,333,383,"Bow, Lightning"
Lianna,No,"Character%20List/Staff_Staves%203.png, Character%20List/Ice%206.png",Available in GL,13 de marzo de 2025,31 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,2 de octubre de 2025,1 de agosto de 2024,Orsterra,283,318,360,425,429,494,24 de noviembre de 2022,"4,3",D (4.99 - 4.00),Never,2762,3502,Fame,1 de septiembre de 2021,D | 9.2-9.1,"9,1",リアナ,Cleric,Cathedral of Thytos,Sacred Blaze Guidance,Unavailable,,,256,306,312,362,350,430,276,326,"Ice, Staff"
Solon,No,"Character%20List/Tome%2010.png, Character%20List/Spear_Polearm%205.png, Character%20List/Fire%2013.png",Available in GL,22 de mayo de 2025,24 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de mayo de 2025,11 de enero de 2024,Orsterra,236,286,394,459,310,360,21 de febrero de 2024,"8,14",A (8.49 - 7.00),Never,3076,3736,Wealth,16 de febrero de 2023,B | 9.6-9.5,"9,5",ソロン,Scholar,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,271,321,321,371,592,682,233,283,"Fire, Polearm, Tome"
Herminia,Yes,"Character%20List/Bow%204.png, Character%20List/Fan%207.png, Character%20List/Light%2011.png",Available in GL,18 de diciembre de 2025,2 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,18 de diciembre de 2025,2 de noviembre de 2023,Orsterra,400,465,250,300,258,278,26 de julio de 2023,"6,56",B (6.99 - 6.00),Never,3062,3882,Wealth,28 de abril de 2022,E | 9.0,9,ヘルミニア,Hunter,Memoir,Champion of Memories,Available in GL,18 de diciembre de 2025,24 de octubre de 2024,427,492,223,273,396,476,350,400,"Bow, Fan, Light"
